ocm_id,ocm_uuid,ocm_title,ocm_latitude,ocm_longitude,ocm_operator,ocm_usage_cost,ocm_number_of_points,ocm_address_line1,ocm_town,ocm_postcode,ocm_plug_types,ocm_connection_count,ocm_max_power_kw,ocm_date_last_verified
307763,41CAD96F-0B51-49B8-8C67-B33A1C4FE5FB,Evie Cowes,-38.4507421042261,145.2404278198406,Evie,,4.0,Chapel Street,Cowes,,CCS (Type 2); CHAdeMO,2,50.0,2025-01-23T07:44:00Z
307762,37D426CC-B02D-4A4C-A3D1-45F2E7643142,Evie Traralgon,-38.19729526031544,146.54141869877014,Evie,,2.0,Princes Street,Traralgon,,CCS (Type 2); CHAdeMO,2,50.0,2025-01-23T07:44:00Z
307761,2A05EE34-A321-4D8A-A396-A6529B5C935F,Tesla Supercharger Traralgon,-38.192546578861105,146.527465028071,Tesla (Tesla-only charging),$0.66/kWh,4.0,Grey Street,Traralgon,,CCS (Type 2),1,250.0,2025-01-23T07:44:00Z
307760,695E7B89-2D54-4001-AC1C-D838B7BC03E8,Tesla Supercharger Lucas,-37.543339004512035,143.78422184851445,Tesla (including non-tesla),$0.78/kWh,10.0,Lilburne Street,Lucas,,CCS (Type 2),1,250.0,2025-01-23T07:44:00Z
307759,8EE747E1-A724-4BCE-8AB2-BF82A5C189D2,Ampol Foodary,-38.24620744489461,143.98330610676584,Ampol AmpCharge,$0.60/kWh for pay-as-you-go charging.,1.0,Princes Highway,Winchelsea,,CCS (Type 2); CHAdeMO,2,180.0,2025-01-23T07:44:00Z
307698,D24839AE-AD40-475E-B23B-5634403E10E5,Eastlake Parade - Streetlight SL217828,-35.312486897855344,149.14620754929297,Thundergrid,0,1.0,33 Eastlake Parade,Kingston,2604,Type 2 (Socket Only),1,22.0,2025-01-06T17:12:00Z
307478,73A3CDC3-4015-4DAA-AE58-0D86F618D648,Melville City - LeisureFit,-32.03968803198156,115.83200365710911,Chargehub,,2.0,521 Marmion St,Melville City,6154,Type 2 (Socket Only),1,22.0,2024-12-27T07:32:00Z
307477,F216B644-A0E7-4527-B7DD-3BBDAC70178F,Melville City - City Hall,-32.0322316337417,115.83247239799903,Chargehub,$0.55 per kWh,2.0,10 Almondbury Rd,Melville City,6154,CCS (Type 2),1,60.0,2025-11-23T04:53:00Z
306891,9A7966CF-9F0F-4CA6-9081-D2312CFF09E2,Buckland Kent St,-42.60668821556477,147.71852154472168,(Unknown Operator),64 cents per kW,1.0,"23 Kent Street, Buckland, Tasmania",Buckland,7190,Type 2 (Tethered Connector) ,1,22.0,2025-06-22T07:04:00Z
306858,55119A74-F84D-4843-9C98-BED4DDD47C9D,Buckland Kent St,-42.60669976786134,147.7185327664647,(Unknown Operator),64 cents per kW hour,1.0,"23 Kent Street, Buckland, Tasmania",Buckland,,Type 2 (Tethered Connector) ,1,22.0,2025-01-23T07:59:00Z
306743,BE47D8D3-DE12-458C-A702-D3DDF11919BE,Armadale Fitness and Auqatic Center,-32.13378217875158,116.00360230509733,Chargehub,,2.0,76 Champion Drive,Armadale City,,Type 2 (Socket Only),1,22.0,2024-12-04T16:58:00Z
306626,8CC6DC8E-D0E2-4CBA-A986-295D464D4E61,Port Headland (WA EV Network),-20.309214965529335,118.59299891016775,Chargefox,"$0.60 per kWh for fst DC, $0.35 per kWh for slow AC",1.0,3 Sutherland Road,Port Headland,6721,CCS (Type 2); Type 2 (Socket Only),2,150.0,2025-01-29T15:32:00Z
306581,C4440484-8E83-4DD6-B802-72C8DFDBE228,WA EV Network - Fortescue River,-21.295783915716314,116.13807973599131,Chargefox,"$0.60 per kWh for fast DC, $0.22 per kWh for slow AC.",1.0,51 Highway 1,Mardie,6714,CCS (Type 2); Type 2 (Socket Only),2,50.0,2024-11-27T15:33:00Z
306224,494A3A8C-149F-4001-867B-37787314FAF3,Perth City Supercharger,-31.953457974189973,115.83912294028778,Tesla (including non-tesla),,6.0,Kulunga Grove,Perth,6005,CCS (Type 2),1,250.0,2024-12-22T14:52:00Z
306096,D664B99A-2F08-4A07-AAC5-B5B47C248FD9,Sandfire (WA EV Network),-19.768818135351367,121.09160068026648,Chargefox,"$0.60 per kWh for fast DC, $0.35 per kWh for slow AC",2.0,Highway 1,Sandfire,6725,CCS (Type 2); Type 2 (Socket Only),2,50.0,2025-01-29T15:33:00Z
306095,9B78D669-9DA3-4E58-BA78-9CC43887C3BA,WA EV Network - Whim Creek,-20.838466287478184,117.83409361484922,Chargefox,"$0.60 per kWh fast DC, $0.35 per kWh slow AC.",2.0,Lot 58,Whim Creek,6718,CCS (Type 2),1,150.0,2024-11-15T15:56:00Z
306072,4B498211-4731-4CB5-A911-EADB1FD5B604,Ampol Foodary North Yunderup,-32.5671631849554,115.79829772601357,Ampol AmpCharge,$0.60 per kWh,1.0,741 Pinjarra Rd,North Yunderup,6208,CCS (Type 2); CHAdeMO,2,180.0,2024-11-14T15:49:00Z
306018,E922546B-A2E0-47AC-87D8-DA7F20B3709F,Redgrave Park,-34.81320838371845,147.20146957248267,Exploren,$0.25 each 30 mins plus $0.28/kWh,1.0,Loughnan Street,Coolamon,,Type 2 (Socket Only),1,22.0,2024-12-08T01:54:00Z
306017,E6F4CEA1-E797-4DFC-BBEB-EA1BAAB8739B,Ganmain Craft Cottage,-34.79340665268592,147.03869475917048,Exploren,$0.50 per hour plus $0.28/kWh,2.0,76 Ford Street,,2702,Type 2 (Socket Only),1,7.0,2024-12-08T01:54:00Z
306016,6DAB807E-A2F4-45FF-B7EA-770B12F6BAD2,Middy's Wagga East,-35.123640112987474,147.3992802491099,Everty,$0.35/kWh,1.0,Stuart Road,,2650,CCS (Type 2); CHAdeMO,2,25.0,2024-12-08T01:54:00Z
306015,D3015427-ACDF-4CDE-B4A6-28A9AF74AD9C,Griffith City Volkswagen,-34.30220873271793,146.0827951103297,Chargefox,$0.40/kWh,1.0,Kurrajong Avenue,,2680,CCS (Type 2),1,24.0,2024-12-08T01:54:00Z
306014,8A6B1087-1905-4678-B134-CB9713F8C46E,Owen Toyota,-34.299877486665665,146.0781598113113,Chargefox,$0.40/kWh,2.0,Owen Drive,,2680,CCS (Type 2),1,50.0,2024-11-14T09:54:00Z
306013,69630032-91B9-4C2F-B5EF-590872DA49D4,Griffith Leagues Club Southside,-34.29247666125356,146.05114295544826,Tesla (including non-tesla),up to $0.92/kWh,6.0,2 Bridge Road,Griffith,2680,CCS (Type 2),1,250.0,2024-12-08T01:54:00Z
305980,EC9A011A-394A-4D17-9C78-27C6CFFA8EED,NRMA Ararat,-37.28516365724295,142.92645264670017,NRMA,66c / 60c for members,4.0,Taylor Street,Ararat,3377,CCS (Type 2); CHAdeMO,2,150.0,2024-11-12T01:29:00Z
305979,7020C89D-D467-4913-A427-E648CACAB912,NRMA Marong,-36.73483353372276,144.13365887284453,NRMA,66c / 60c for members,4.0,32 High Street,Marong,3515,CCS (Type 2); CHAdeMO,2,180.0,2026-05-13T00:41:00Z
305978,90BB449B-879C-488C-BDEF-C5360AE9C3E0,NRMA Wycheproof,-36.07623961780974,143.22518416666645,NRMA,66c / 60c for members,4.0,361 Broadway,Wycheproof,3527,CCS (Type 2); CHAdeMO,2,150.0,2024-11-12T01:19:00Z
305977,85C384F7-A8C1-4D04-9852-87EF1041F978,NRMA Ouyen,-35.071599703997784,142.31988019027813,NRMA,66c / 60c for NRMA Members,4.0,8 Hughes Street,Ouyen,3490,CCS (Type 2); CHAdeMO,2,150.0,2024-11-12T01:14:00Z
305975,5C1C58CE-8D11-4D49-87D6-5E1126DC5131,Armadale City,-32.150681222892466,116.01697710197169,(Unknown Operator),,2.0,Jull Street,Armadale,6112,CCS (Type 2); Type 2 (Socket Only),4,60.0,2024-12-04T05:15:00Z
305540,D8E333F9-7F6E-4C95-B32D-DAB49A713C4B,Autobahn Armadale,-32.14798632595281,115.98536350907739,Chargefox,$0.55kWh,2.0,1256 Armadale Road,"Armadale, ",6112,Type 2 (Socket Only),1,22.0,2024-10-20T06:05:00Z
304459,07400EE6-532F-418A-8EA5-3E096ACFC026,RAA Charge Brickworks,-34.9131230518513,138.56301692754607,Chargefox,"DC is Evening peak 68c kWh (5:00pm to 10:00pm), Standard 59c kWh (all other times), AC is Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",3.0,2 Ashwin Parade,Torrensville,5031,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),3,200.0,2024-10-14T08:09:00Z
304358,6CCE2F5F-45CA-4338-9751-348A0D5729A1,NRMA Mandurah,-32.50979875144507,115.73981288369129,Chargefox,$0.65 per kWh ,2.0,Magenta Terrace,Mandurah,6210,CCS (Type 2); CHAdeMO,2,120.0,2024-09-24T10:58:00Z
304335,866F681A-78A4-4E81-AB55-40CFBEEAD479,All Saints College,-32.048870705546086,115.86542217360795,WeVolt (AU),$0.25 per kWh,2.0,28 Ewing Ave,Bull Creek,6163,CCS (Type 2),1,50.0,2024-09-23T10:23:00Z
304318,1B4E3A02-F221-4FA7-9AA9-29EB1433467E,Hunter Street,-27.596393387636958,152.7462094147789,Ampol AmpCharge,,2.0,Hunter Street,,4305,CCS (Type 2); CHAdeMO,2,120.0,2024-10-14T08:09:00Z
304196,A579991F-B900-4339-A97C-7C9AE8C0D3C7,Monto's Grand Hotel,-24.862625832767137,151.12151830708194,NRMA,,4.0,32 Lister Street,Monto,4630,CCS (Type 2); CHAdeMO,2,,2024-09-17T13:28:00Z
303938,340A6698-FC6B-4B1A-BEF2-9DEA18B536C9,Bidyadanga Turnoff (WA EV Network),-18.721350107077058,121.87899345971687,Chargefox,"$0.60 per kWh for fast DC, $0.35 per kWh for slow AC.",1.0,Bidyadanga Road,Lagrange,6725,CCS (Type 2); Type 2 (Socket Only),2,50.0,2025-01-29T15:34:00Z
303937,E1703A01-0D86-4C25-90B2-1359F5FABE5A,Ngumpan (WA EV Network),-18.749254525895964,126.11371953941125,Chargefox,$0.60 per kWh at all times.,1.0,Great Nirthern Highway,,,CCS (Type 2),1,75.0,2024-09-10T09:37:00Z
303716,A405122A-D3C0-4D2E-899E-F66653CDBCD1,NRMA Midland ,-31.8962683,116.01022,Chargefox,$0.65 per kWh,1.0,Clayton St,Midland ,,CCS (Type 2); CHAdeMO,2,120.0,2024-09-01T05:20:00Z
303446,37B1510D-762B-4998-9892-6DE2B9AC7FB1,K Park Playhouse Lane,-34.925115,138.595206,Chargefox,$0.50/kWh,1.0,20 Playhouse Ln,Adelaide,5000,CCS (Type 2); CHAdeMO,2,125.0,2024-08-25T01:12:00Z
302585,2700862A-909F-48A0-93D8-83CFA5593669,BP South Bound,-32.30983528619279,115.83240066607163,BP Pulse (AU),65c/kWh,6.0,Leary Road,,6171,CCS (Type 2),1,150.0,2024-08-14T03:03:00Z
302397,D3C20FB4-E2AE-4F1F-89D3-7FABA3C17762,Miller Grove,-37.875016711913474,145.128081929617,Exploren,free,2.0,Miller Grove,,3149,CCS (Type 2),1,22.0,2025-01-06T17:09:00Z
302211,50C40FF6-BFF0-4573-B61C-F6A4CEE0A302,Green Head Supercharger,-30.070090453487722,114.96554294156368,Tesla (Tesla-only charging),,6.0,Ocean View Drive,Green Head,6514,CCS (Type 2),6,250.0,2025-05-05T03:02:00Z
301868,33498C34-5C0B-448E-B567-B8AAC892ED90,Eli Waters Shopping Centre,-25.286041551013156,152.8158038522372,Evie,0.68,4.0,2 Ibis Boulevard,Hervey Bay,,CCS (Type 2),1,150.0,2024-07-29T05:35:00Z
301260,B60E0DDF-09EB-4438-AECA-4DF1090A6BEA,Minilya WA EV Network,-23.752240907122726,114.01430399748614,Chargefox,,2.0,Minilya-Exmouth Road,,,CCS (Type 2); Type 2 (Socket Only),2,50.0,2024-07-17T14:38:00Z
300856,826913CD-7E19-4728-BC55-BA2BB02E7D73,BP Pulse Northbound ,-32.30935248843228,115.83043488599236,BP Pulse (AU),65c/kWh,6.0,191 Paparone Road,Perth,6171,CCS (Type 2),1,150.0,2024-08-14T02:59:00Z
300802,DFC905F9-AD96-456F-96ED-A9157DEF04A0,Gunabul HomeStead,-26.199375967349063,152.6570568531024,(Unknown Operator),$0.70/kWh,2.0,9 Power Road,Southside,4570,CCS (Type 2),1,160.0,2024-07-13T01:09:00Z
300801,4612E140-1191-4D36-8B8D-149B6CCC6A70,Willowbank Raceway,-27.68917090278832,152.6532223508002,Elanga (AU),,2.0,133 Champions Way, Willowbank,4306,CCS (Type 2),1,300.0,2024-07-26T06:19:00Z
300463,2F6C71BA-3CA7-4B88-AC2D-5002C4858938,Spotted Gum Retreat Holiday Accommodation,-36.30497745879883,150.12519241466634,(Unknown Operator),enquire,1.0,Lamont Young Drive,Mystery Bay,2546,Type 2 (Tethered Connector) ,1,7.0,2024-09-22T14:55:00Z
300418,1CD807F2-2ADC-43C6-BA6F-9A0912AC740D,Watermarc Carpark (LG),-37.70397622211952,145.10521824749753,(Unknown Operator),0,3.0,Greensborough Walk,,3088,Type 2 (Socket Only),1,11.0,2024-07-08T03:19:00Z
300155,9631A45F-5E28-4554-9B29-2EF397378C88,Tesla Supercharger Campbellfield,-37.68912458660884,144.95662465559099,Tesla (Tesla-only charging),69c / KwH,1.0,Camp Road,Campbellfield,3060,CCS (Type 2),1,250.0,2024-06-25T11:24:00Z
300154,53427D63-0B3F-419B-90F8-BE378D8FBF58,Tesla Supercharger Albury,-36.07928408317759,146.91360130129283,Tesla (including non-tesla),$0.69/kWh,12.0,Stanley Street,Albury,2640,CCS (Type 2),1,250.0,2024-06-25T11:24:00Z
300153,5278919B-0FBC-4F35-A56A-4E6D0E057921,Tesla Supercharger Wagga Wagga,-35.13104690746256,147.3397865366278,Tesla (including non-tesla),$0.69/kWh,6.0,Fernleigh Road,Wagga Wagga,2650,CCS (Type 2),1,250.0,2024-06-25T11:19:00Z
300152,22B48BD3-2512-4D76-B800-ACB1A06FDF04,Evie Cranbourne Homemaker Centre,-38.08489638497555,145.27849713747787,Evie,,1.0,South Gippsland Highway,Cranbourne,3977,CCS (Type 2); CHAdeMO,2,50.0,2024-06-25T11:14:00Z
300151,0E7AE399-1493-424C-9749-9FA4ABD370C8,Engie Cranbourne Park,-38.10907515763703,145.28176239248455,Engie,,3.0,Cranbourne Drive,,3977,CCS (Type 2); CHAdeMO,2,120.0,2024-06-25T11:14:00Z
300150,6DFB4BAB-0AE3-4EF6-9E7A-F014F9BF1D82,BP Pulse Cranbourne,-38.110286646748186,145.2640707648552,BP Pulse (AU),$0.55/kWh,1.0,Cranbourne-Frankston Road,Cranbourne West,3977,CCS (Type 2); CHAdeMO,2,75.0,2024-06-25T11:14:00Z
300149,58B95FA8-0E1E-41B0-8B0E-C341EA36B693,Telsa Supercharger Box Hill,-37.837816422984424,145.1346849142019,Tesla (including non-tesla),,12.0,Ailsa Street,Box Hill South,3128,CCS (Type 2),1,250.0,2024-06-25T11:14:00Z
300148,E77DE053-5408-4E6E-B4CE-FCBA56851A0A,Tesla Supercharger Brighton East,-37.907528089556905,145.01117779850802,Tesla (including non-tesla),$0.69/kWh,3.0,Hope Street,Brighton East,3186,CCS (Type 2),1,250.0,2024-06-25T11:09:00Z
300147,1F235752-DCFF-432E-A241-BC7DFC7BA6AA,Bridge Street,-37.94495495500977,145.00192929573643,Ampol AmpCharge,$0.60/kWh for pay-as-you-go charging.,1.0,Bridge Street,Hampton,3191,CCS (Type 2); CHAdeMO,2,180.0,2024-06-25T11:09:00Z
300146,299B76E7-4AA0-4BBE-92C6-596611C23A03,Bay Trail,-38.00841347461177,145.0848841496986,Evie,,1.0,Bay Trail,Moordialloc,3195,CCS (Type 2); CHAdeMO,2,50.0,2024-06-25T11:04:00Z
299958,4EF01999-6A69-4428-934B-FFA417DC9A24,Dongra Electrical,-29.251767146809307,114.93533678947051,Exploren,$0.35 per KwH,2.0,Point Leander Drive,Dongara,6525,Type 2 (Tethered Connector) ,2,22.0,2024-06-13T15:43:00Z
299904,8590DDE8-0402-4A04-9EED-0D8813E41BC9,Club Lithgow,-33.485305997724765,150.1520457902966,Exploren,See Exploren app.,4.0,"2c Lithgow St, ",Lithgow,2790,Type 2 (Socket Only),1,22.0,2024-06-17T11:11:00Z
299879,797473D2-D572-4D0A-9141-81A5F0C95BBE,Chargefox Charging Station,-34.07085887727317,150.80665583075495,Chargefox,$0.60/kWh,1.0,38 Camden Rd,Campbelltown,2560,CCS (Type 2); CHAdeMO,2,75.0,2024-06-11T09:50:00Z
299804,7DDC5CFB-3EC9-4AE2-A4B3-EF6B263DB493,EPM,-31.97974757849547,115.97197588423592,Chargefox,$0.45 per kWh,2.0,Baldwin Street,,6105,CCS (Type 2),1,75.0,2024-06-05T16:09:00Z
298483,BFACB6EE-C799-4D7B-942D-E143521CDF4B,Pardoo Road House (WA EV Network),-20.05385007735012,119.8271567468621,Chargefox,,3.0,Highway 1,Pardoo,6721,CCS (Type 2); Type 2 (Socket Only),2,50.0,2024-05-09T00:19:00Z
298208,255A6AF1-2354-4EBD-88D8-3A9369CF7055,Blackbutts Road,-33.741938777072164,151.21364536627425,(Unknown Operator),,1.0,Blackbutts Road,Frenchs Forest,2085,CCS (Type 2),1,,2024-05-10T08:24:00Z
298207,C0201F83-3576-4EB2-AD4E-79CEA0D152BD,Opposite Malbara Crescent,-33.741938777072164,151.21364536627425,(Unknown Operator),,1.0,Blackbutts Road,Frenchs Forest,2085,Unknown,1,,2024-05-10T08:24:00Z
298092,4F969ED5-E93C-4AA2-8D58-37BCD041D187,Waikerie Civic Centre,-34.18231041374674,139.98631021340225,Chargefox,"DC is Evening peak 68c kWh (5:00pm to 10:00pm), Standard 59c kWh (all other times), AC is Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",7.0,1A Strangman Road,Waikerie,5330,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),3,200.0,2024-05-10T08:24:00Z
298091,408D0C1F-E0E0-4C60-B34F-9215323EDE6B,Kirriemuir Motel and Cabins,-34.18605180138638,139.99661283387684,Chargefox,"Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)",3.0,108 Ian Oliver Drive,Waikerie,5330,Type 2 (Socket Only),1,7.0,2024-05-10T08:24:00Z
297859,D946117E-3CC0-4E98-BB80-89C24A41AA19,Terrace Central [Tesla],-32.76374294675019,151.742101372786,Tesla (including non-tesla),$0.68/kWh,12.0,Glenelg Street,Raymond Terrace,2324,CCS (Type 2),1,250.0,2026-03-05T09:39:00Z
297730,D10A4A56-E4AC-4443-97B3-B57EC596B3BD,Ellendon Street,-35.25805966511065,149.4398991158709,Exploren,,8.0,Ellendon Street,Bungendore,2621,Type 2 (Socket Only),1,22.0,2024-04-25T11:18:00Z
297509,CCD83987-4198-42F0-A44E-23FC91FE153C,Bannister Road,-32.80115991667573,116.47522932344805,Chargehub,"$0.45 per kWh, may vary. See chargehub app.",1.0,20 Bannister Road,Boddington,6390,Type 2 (Socket Only),1,22.0,2024-04-12T09:56:00Z
297166,76BC10CE-463A-4E17-A808-5C6795F2BEAE,Spud's Roadhouse Motel,-31.2557851,136.80266,Chargefox,,2.0,Stuart Highway,Pimba,5720,CCS (Type 2); Type 2 (Socket Only),2,150.0,2024-04-02T11:44:00Z
297165,3B065345-B397-434A-AE0E-A75E44C6F7FD,Kulgera Roadhouse and Caravan Park,-25.840736817666908,133.29974959294498,(Unknown Operator),$10 per hour @22kw,1.0,Kulgera Crescent,Kulgera,0872,Three Phase 5-Pin (AS/NZ 3123),1,22.2,2024-04-02T11:29:00Z
297042,5B7A437F-8969-43D8-BDD9-F1A1AA699D9D,AmpCharge Charging Station,-33.765456662016454,150.62149884005026,Ampol AmpCharge,,1.0,78 Great Western Highway,Glenbrook,2773,CCS (Type 2); CHAdeMO,2,150.0,2024-03-30T04:59:00Z
296683,DDA74C11-D6A8-4CB2-AF87-D7846C343D16,Margaret River (WA EV Network),-33.953590454066756,115.07079111266364,Chargefox,$0.60 per kWh at all times.,4.0,Wallcliffe Road,Margaret River,6285,CCS (Type 2),2,150.0,2024-03-16T01:49:00Z
296536,9B6DB00D-66CA-4F76-B250-BC614C71221F,Kalgoorlie (WA EV Network),-30.750111329876674,121.47511538931815,Chargefox,"$0.60 per kWh for high power DC, $0.35 per kWh for low power AC.",3.0,Cassidy Street,Kalgoorlie ,,CCS (Type 2); Type 2 (Socket Only),2,150.0,2024-03-16T01:57:00Z
296045,9738C105-BB11-470C-B9AB-D912716047F2,Tesla Superchargers Yass,-34.84380365342569,148.9141018891671,Tesla (including non-tesla),$0.52/kWh,1.0,Lead Street,Yass,2582,CCS (Type 2),1,250.0,2024-03-06T09:49:00Z
296044,7CE28C64-6585-4068-BC3E-46522189C8B4,Tesla Supercharger Holbrook,-35.7229067434558,147.3171930996939,Tesla (Tesla-only charging),$0.69 / kWh,1.0,Swift Street,Holbrook,2644,CCS (Type 2),1,250.0,2024-03-06T09:49:00Z
296038,74329DCD-F506-442C-8C24-03644C065663,KFC Goulburn,-34.772316512568395,149.69267286725506,Chargefox,,2.0,Lockyer Street,Goulburn,2580,CCS (Type 2),1,75.0,2025-01-24T09:21:00Z
296037,B60BF20F-CCCE-44D4-BDBF-1DDCE45E81C3,Evie Leongatha,-38.47811653249701,145.94369632320195,Evie,,1.0,McCartin Street,Leongatha,3953,CCS (Type 2); CHAdeMO,2,50.0,2025-01-24T09:21:00Z
296036,88DFB190-4A87-4CDB-B6DF-9FD04BA227F6,CTR Leongatha,-38.47607406598741,145.9449660995017,Chargefox,,1.0,Pern Lane,Leongatha,3953,CCS (Type 2); CHAdeMO,2,50.0,2025-01-24T09:21:00Z
296035,951C8CF9-CB4F-4CB2-B1AB-0B069208CA2A,Evie Korumburra,-38.43454681668418,145.82550050274392,Evie,,1.0,Mine Road,Korumburra,3950,CCS (Type 2); CHAdeMO,2,50.0,2025-01-23T11:01:00Z
296034,F0CC2DCB-668C-4BA5-A5E5-1B62C2E00EC2,CTR Korumburra,-38.43293285267044,145.82559498595492,Chargefox,,1.0,Commercial Street,Korumburra,3950,CCS (Type 2); CHAdeMO,2,50.0,2025-01-24T09:20:00Z
296033,B66A0BE9-DAB5-4DA6-BAB8-673E0BF1A64D,Evie Warrigul,-38.16759449972774,145.95340965722312,Evie,,1.0,Queen Street,Warragul,3820,CCS (Type 2); CHAdeMO,2,50.0,2024-03-06T05:39:00Z
296032,E80E8B9B-4DB4-483B-925D-37A618C8D79B,Engie Monash University,-38.15200425352916,145.13493764315962,Engie,,3.0,McMahons Road,Melbourne,3199,CCS (Type 2); CHAdeMO,2,120.0,2025-01-09T08:53:00Z
295995,43D49AEC-D127-46F0-B6A1-413A827489AF,RAA Ceduna,-32.12627372979047,133.6729436190849,Chargefox,0.59 - 0.68 AUD kWh,2.0,McKenzie Street,Ceduna,5690,CCS (Type 2),1,150.0,2024-03-01T08:45:00Z
295994,AA3C677E-BE8B-4E21-9CB8-7F93C0C786F6,NRMA Cabarita Beach,-28.33164512189506,153.56421838432203,NRMA,$0.60/kWh,4.0,45 Cabarita Road,Bogangar,2488,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),4,300.0,2024-03-06T17:53:00Z
295993,A11F6554-6028-4B9C-9359-853EEEBD6D46,Evie Ararat,-37.282013366626494,142.9297245107835,Evie,,1.0,Western Highway,Ararat,3377,CCS (Type 2); CHAdeMO,2,50.0,2024-03-04T03:24:00Z
295992,99EDD644-46EC-4818-A5CA-AB4473B9C6F4,Tesla Superchargers Stawell,-37.054694820216696,142.7814197610627,Tesla (including non-tesla),$0.66/kWh,12.0,Church Street,Stawell,3380,CCS (Type 2),1,250.0,2025-01-09T08:52:00Z
295991,DC789A39-8504-4175-96D8-BF7EAE121813,Evie Stawell,-37.05706536578791,142.78103976991747,Evie,,1.0,Skene Street,Stawell,3380,CCS (Type 2); CHAdeMO,2,50.0,2024-03-04T03:24:00Z
295990,27D08670-6570-4691-A5B8-9A75D636DC4B,Evie Benalla,-36.55114428189935,145.98425664687772,Evie,,1.0,Denny Street,Benalla,3672,CCS (Type 2); CHAdeMO,2,50.0,2024-03-04T03:19:00Z
295989,7B310C1D-27CC-4976-A1B4-5689F6064953,Evie Mornington,-38.22449869065465,145.03964281641652,Evie,,2.0,Cromwell Street,Mornington,3931,CCS (Type 2); CHAdeMO,3,50.0,2024-06-25T11:04:00Z
295979,4A47EACD-B9EC-48F5-8DCD-15DFA845E9F7,Barrenjoey Road,-33.597285174014345,151.31997898476163,Jolt,"First 7kWh free, then $0.49 per kWh thereafter. $5/hr idle time",1.0,Barrenjoey Road,,2108,CCS (Type 2); CHAdeMO,2,25.0,2024-03-03T23:09:00Z
295940,B50FD272-35AB-460F-BAF4-55DFE8916ABB,Nanutarra (WA EV Network),-22.543198410447303,115.50141571783809,WA EV Network (AU),"$0.60 per kW for fast DC charger, $0.36 for slow AC charger,",2.0,North West Coastal Highway,,,CCS (Type 2); Type 2 (Socket Only),2,50.0,2024-03-03T09:23:00Z
295863,2C218C1D-6F70-4958-8128-3212E6BE9E9A,Puma INGLEWOOD,-28.41795526622294,151.07778635013676,(Unknown Operator),,1.0,Albert Street,Inglewood,4387,Unknown,1,,2024-02-28T02:54:00Z
290685,0C632EFE-707A-424A-B5E9-D64EAD36F0FE,RAA Charge Marla Travellers Rest,-27.303895427172144,133.62317371162635,Chargefox,Evening Peak 32c per kWh (5:00PM to 10:00PM) 25c all other times,3.0,Wattle Street,Marla,5724,CCS (Type 2); Three Phase 5-Pin (AS/NZ 3123),2,15.0,2025-01-20T16:05:00Z
289988,3035725C-7D28-46C2-B45F-3C6B76284F14,Kojonup Supercharger,-33.83754542029569,117.1578115341685,Tesla (including non-tesla),,4.0,Benn Parade,Kojonup,6395,CCS (Type 2),1,250.0,2024-03-28T12:18:00Z
289972,08BC76D8-075A-4AFC-B903-125F4FB57724,Narrogin Trailer Park,-32.937064398774,117.16399188426647,Chargefox,$0.45 per kWh ,1.0,80 Williams Road ,Narrogin ,6312,Type 2 (Socket Only),1,22.0,2024-02-05T05:41:00Z
289971,58F3BBF1-985D-49A2-8520-37F6055CFF70,Narrogin Memorial Park ,-32.934143432527556,117.17480124057863,Chargefox,$0.45 per kWh. ,1.0,6312/9 Williams Narrogin Highway ,Narrogin ,6312,Type 2 (Socket Only),1,22.0,2024-02-05T04:19:00Z
289970,BD2E0CF1-1000-4401-9B84-9CBED9982FB5,Old Courthouse Museum ,-32.933670519982606,117.17677737808447,WA EV Network (AU),$0.45 per kWh ,1.0,Harris Street,Narrogin,6312,Type 2 (Socket Only),1,22.0,2026-02-14T08:27:00Z
289312,D38AC108-7F0A-45FF-A280-BE9515746694,Wyalkatchem Community Resource Center,-31.179597642152913,117.37944093832061,(Unknown Operator),$5.00 per hour.,1.0,5700 Railway Terrace,Wyalkatchem,6485,Type 2 (Tethered Connector) ,1,22.0,2024-08-31T06:43:00Z
289309,926617FF-AA46-4706-ADA5-5065CCD4939F,Car Park,-28.21735094177685,152.03086649397966,iCharge (AL),free,4.0,Acacia Avenue ,Warwick,4370,CCS (Type 2); CHAdeMO,2,,2025-12-29T06:02:00Z
289009,8D57D217-91D2-4ED6-924A-F0A7617E7D7A,Warnambool Tourist Information Centre,-38.389181,142.484993,Chargefox,payment may be required,1.0,91 Merri Street,Warnambool,2380,CCS (Type 2); CHAdeMO,2,50.0,2023-12-30T23:34:00Z
288968,91C2BA4C-1C60-457A-A674-305FF4DCC5F5,Coles Bairnsdale,-37.82480937950314,147.63246014953563,Tesla (Tesla-only charging),0.70c/kwh,3.0,35 Nicholson St,Bairnsdale,3875,CCS (Type 2),1,250.0,2024-01-15T02:41:00Z
